City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
260,Caconda,AO,-13.7333,15.0667,57.7,63,100,4.83,overcast clouds
261,Torbay,CA,47.6666,-52.7314,28.0,68,90,24.16,overcast clouds
262,Machali,CL,-34.1833,-70.6667,61.83,64,0,2.89,clear sky
263,Belaya Gora,RU,68.5333,146.4167,-45.69,78,48,3.74,scattered clouds
264,Portland,US,45.5234,-122.6762,45.0,70,90,1.21,overcast clouds
265,Acari,PE,-15.4311,-74.6158,71.78,67,61,1.72,broken clouds
266,Xambioa,BR,-6.4111,-48.5364,70.75,96,100,2.66,heavy intensity rain
267,Belmonte,BR,-15.8631,-38.8828,77.0,73,20,3.44,few clouds
268,Dhidhdhoo,MV,6.8833,73.1,81.59,69,6,5.99,clear sky
269,Norman Wells,CA,65.282,-126.8329,8.6,85,90,10.36,overcast clouds
270,Xining,CN,36.6167,101.7667,31.5,61,66,2.15,broken clouds
271,Verkhoyansk,RU,67.5447,133.385,-33.27,80,100,3.89,overcast clouds
272,Kukmor,RU,56.1855,50.8944,3.99,94,99,8.86,overcast clouds
273,Ambunti,PG,-4.2365,142.8448,85.06,79,100,1.41,moderate rain
274,Ewa Beach,US,21.3156,-158.0072,80.6,50,1,6.91,clear sky
275,Sarai,RU,53.7458,41.0213,0.28,92,51,7.4,broken clouds
276,Jizan,SA,17.3333,42.6667,73.4,83,20,3.44,few clouds
277,Hoi An,VN,15.8794,108.335,73.4,78,75,8.05,broken clouds
278,Eureka,US,40.8021,-124.1637,45.0,79,51,4.23,broken clouds
279,Sao Filipe,CV,14.8961,-24.4956,72.54,66,100,8.79,overcast clouds
280,Severobaykalsk,RU,55.65,109.3167,-8.64,78,98,4.56,overcast clouds
281,Biloela,AU,-24.4167,150.5,89.94,31,6,11.21,clear sky
282,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.65,88,99,11.5,overcast clouds
283,Panzhihua,CN,26.5851,101.7128,50.0,59,59,0.63,light rain
284,Young,UY,-32.6833,-57.6333,69.55,55,0,11.68,clear sky
285,Cherskiy,RU,68.75,161.3,-45.15,75,10,3.2,clear sky
286,Zhanaozen,KZ,43.3,52.8,21.83,92,97,13.47,overcast clouds
287,Jesup,US,31.6074,-81.8854,46.4,71,1,3.47,clear sky
288,Mount Isa,AU,-20.7333,139.5,96.8,34,75,5.75,broken clouds
289,Kankon,IN,15.0167,74.0167,75.2,78,1,5.75,mist
290,Vilhena,BR,-12.7406,-60.1458,70.0,98,100,0.38,overcast clouds
291,Sistranda,NO,63.7256,8.834,33.8,64,0,32.21,clear sky
292,Riosucio,CO,5.4216,-75.7032,73.4,68,40,2.3,scattered clouds
293,Cayenne,GF,4.9333,-52.3333,73.4,100,90,2.3,mist
294,Paamiut,GL,61.994,-49.6678,28.09,82,72,4.14,broken clouds
295,Gornopravdinsk,RU,60.05,69.9,-8.27,90,100,5.28,overcast clouds
296,Yamada,JP,39.4667,141.95,43.21,63,19,10.18,few clouds
297,Sicuani,PE,-14.2694,-71.2261,48.4,77,100,5.23,light rain
298,Madona,LV,56.8533,26.217,23.45,98,100,7.07,light snow
299,Hjallerup,DK,57.1647,10.1457,41.0,87,75,13.8,broken clouds
300,Fare,PF,-16.7,-151.0167,81.61,75,0,16.22,clear sky
301,Labrea,BR,-7.2586,-64.7981,72.82,97,100,1.12,overcast clouds
302,Gushikawa,JP,26.3544,127.8686,73.4,68,75,21.85,broken clouds
303,Oistins,BB,13.0667,-59.5333,77.0,73,20,13.8,few clouds
304,Tiznit,MA,29.5833,-9.5,50.81,51,0,2.21,clear sky
305,Tubuala,PA,9.5167,-79.0333,77.0,78,20,3.44,few clouds
306,Muswellbrook,AU,-32.2667,150.9,93.0,21,7,7.0,clear sky
307,Comodoro Rivadavia,AR,-45.8667,-67.5,78.8,38,0,14.97,clear sky
308,Marystown,CA,47.1666,-55.1483,26.6,93,93,16.06,overcast clouds
309,Oudtshoorn,ZA,-33.5907,22.2014,57.2,100,90,4.61,mist
310,Vrbno Pod Pradedem,CZ,50.1209,17.3832,37.0,89,88,11.72,overcast clouds
311,Bakchar,RU,57.0186,82.0711,-11.4,90,100,6.22,overcast clouds
312,Ribeira Grande,PT,38.5167,-28.7,62.31,88,98,21.85,overcast clouds
313,Sinnamary,GF,5.3833,-52.95,75.79,89,44,8.14,scattered clouds
314,Vao,NC,-22.6667,167.4833,75.79,79,89,15.41,overcast clouds
315,Naze,JP,28.3667,129.4833,68.0,68,75,17.27,broken clouds
316,Laguna,US,38.421,-121.4238,53.01,43,1,1.61,clear sky
317,Provideniya,RU,64.3833,-173.3,3.2,72,90,31.32,snow
318,Catuday,PH,16.2923,119.8062,82.06,72,31,2.06,scattered clouds
319,Bonthe,SL,7.5264,-12.505,76.1,87,19,3.44,few clouds
320,Mehamn,NO,71.0357,27.8492,20.77,90,91,18.66,snow
321,Oktyabrskoye,RU,43.0645,44.7417,6.8,85,16,4.47,few clouds
322,Hambantota,LK,6.1241,81.1185,82.4,89,20,9.22,few clouds
323,Mount Gambier,AU,-37.8333,140.7667,89.6,14,0,12.66,clear sky
324,Goderich,CA,43.7501,-81.7165,26.6,80,100,21.85,overcast clouds
